Time (minutes),Radius from Simulation(km),Calculated Speed from Vis-Viva equation (km/s),Speed from Simulation (km/s)
30,7171.13481246125,7.45435843958817,7.45435843958821
60,7174.90767407994,7.45043643190244,7.45043643190242
90,7163.36825501347,7.46243851821846,7.46243851821842
